1,공부 기록 (1),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-01-01 00:00:00
2,새로운 목표 (2),새로 산 책을 읽기 시작했는데 내용이 아주 흥미진진하다.,2024-01-02 00:00:00
3,오늘의 일기 (3),오랜만에 친구를 만나서 맛있는 음식을 먹고 수다를 떨었다.,2024-01-03 00:00:00
4,새로운 목표 (4),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-01-04 00:00:00
5,운동 완료 (5),새로 산 책을 읽기 시작했는데 내용이 아주 흥미진진하다.,2024-01-05 00:00:00
6,오늘의 일기 (6),MySQL 데이터베이스 연동 테스트를 성공했다. 뿌듯하다.,2024-01-06 00:00:00
7,피곤한 하루 (7),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-01-07 00:00:00
8,운동 완료 (8),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-01-08 00:00:00
9,날씨가 맑음 (9),계획했던 일들을 다 끝내지 못해서 조금 아쉽지만 내일 더 열심히 해야겠다.,2024-01-09 00:00:00
10,맛있는 점심 (10),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-01-10 00:00:00
11,맛있는 점심 (11),오늘은 정말 보람찬 하루였다. 자바 스윙 공부를 했는데 재미있었다.,2024-01-11 00:00:00
12,공부 기록 (12),오늘은 정말 보람찬 하루였다. 자바 스윙 공부를 했는데 재미있었다.,2024-01-12 00:00:00
13,피곤한 하루 (13),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-01-13 00:00:00
14,공부 기록 (14),일기장 프로그램을 예쁘게 꾸미고 나니 더 쓰고 싶은 마음이 든다.,2024-01-14 00:00:00
15,산책 중 (15),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-01-15 00:00:00
16,산책 중 (16),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-01-16 00:00:00
17,산책 중 (17),MySQL 데이터베이스 연동 테스트를 성공했다. 뿌듯하다.,2024-01-17 00:00:00
18,맛있는 점심 (18),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-01-18 00:00:00
19,운동 완료 (19),일기장 프로그램을 예쁘게 꾸미고 나니 더 쓰고 싶은 마음이 든다.,2024-01-19 00:00:00
20,생각 정리 (20),MySQL 데이터베이스 연동 테스트를 성공했다. 뿌듯하다.,2024-01-20 00:00:00
21,산책 중 (21),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-01-21 00:00:00
22,날씨가 맑음 (22),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-01-22 00:00:00
23,산책 중 (23),오늘은 정말 보람찬 하루였다. 자바 스윙 공부를 했는데 재미있었다.,2024-01-23 00:00:00
24,오늘의 일기 (24),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-01-24 00:00:00
25,피곤한 하루 (25),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-01-25 00:00:00
26,운동 완료 (26),일기장 프로그램을 예쁘게 꾸미고 나니 더 쓰고 싶은 마음이 든다.,2024-01-26 00:00:00
27,친구와의 만남 (27),오랜만에 친구를 만나서 맛있는 음식을 먹고 수다를 떨었다.,2024-01-27 00:00:00
28,날씨가 맑음 (28),프로젝트 구조를 잡는 게 생각보다 어렵지만 차근차근 해보자.,2024-01-28 00:00:00
29,피곤한 하루 (29),계획했던 일들을 다 끝내지 못해서 조금 아쉽지만 내일 더 열심히 해야겠다.,2024-01-29 00:00:00
30,생각 정리 (30),일기장 프로그램을 예쁘게 꾸미고 나니 더 쓰고 싶은 마음이 든다.,2024-01-30 00:00:00
31,공부 기록 (31),프로젝트 구조를 잡는 게 생각보다 어렵지만 차근차근 해보자.,2024-01-31 00:00:00
32,친구와의 만남 (32),계획했던 일들을 다 끝내지 못해서 조금 아쉽지만 내일 더 열심히 해야겠다.,2024-02-01 00:00:00
33,날씨가 맑음 (33),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-02-02 00:00:00
34,산책 중 (34),일기장 프로그램을 예쁘게 꾸미고 나니 더 쓰고 싶은 마음이 든다.,2024-02-03 00:00:00
35,피곤한 하루 (35),계획했던 일들을 다 끝내지 못해서 조금 아쉽지만 내일 더 열심히 해야겠다.,2024-02-04 00:00:00
36,운동 완료 (36),MySQL 데이터베이스 연동 테스트를 성공했다. 뿌듯하다.,2024-02-05 00:00:00
37,새로운 목표 (37),오랜만에 친구를 만나서 맛있는 음식을 먹고 수다를 떨었다.,2024-02-06 00:00:00
38,산책 중 (38),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-02-07 00:00:00
39,새로운 목표 (39),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-02-08 00:00:00
40,오늘의 일기 (40),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-02-09 00:00:00
41,새로운 목표 (41),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-02-10 00:00:00
42,운동 완료 (42),MySQL 데이터베이스 연동 테스트를 성공했다. 뿌듯하다.,2024-02-11 00:00:00
43,맛있는 점심 (43),새로 산 책을 읽기 시작했는데 내용이 아주 흥미진진하다.,2024-02-12 00:00:00
44,공부 기록 (44),MySQL 데이터베이스 연동 테스트를 성공했다. 뿌듯하다.,2024-02-13 00:00:00
45,운동 완료 (45),새로 산 책을 읽기 시작했는데 내용이 아주 흥미진진하다.,2024-02-14 00:00:00
46,피곤한 하루 (46),프로젝트 구조를 잡는 게 생각보다 어렵지만 차근차근 해보자.,2024-02-15 00:00:00
47,피곤한 하루 (47),오랜만에 친구를 만나서 맛있는 음식을 먹고 수다를 떨었다.,2024-02-16 00:00:00
48,운동 완료 (48),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-02-17 00:00:00
49,새로운 목표 (49),계획했던 일들을 다 끝내지 못해서 조금 아쉽지만 내일 더 열심히 해야겠다.,2024-02-18 00:00:00
50,맛있는 점심 (50),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-02-19 00:00:00
51,새로운 목표 (51),계획했던 일들을 다 끝내지 못해서 조금 아쉽지만 내일 더 열심히 해야겠다.,2024-02-20 00:00:00
52,공부 기록 (52),계획했던 일들을 다 끝내지 못해서 조금 아쉽지만 내일 더 열심히 해야겠다.,2024-02-21 00:00:00
53,오늘의 일기 (53),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-02-22 00:00:00
54,날씨가 맑음 (54),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-02-23 00:00:00
55,피곤한 하루 (55),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-02-24 00:00:00
56,피곤한 하루 (56),오랜만에 친구를 만나서 맛있는 음식을 먹고 수다를 떨었다.,2024-02-25 00:00:00
57,새로운 목표 (57),일기장 프로그램을 예쁘게 꾸미고 나니 더 쓰고 싶은 마음이 든다.,2024-02-26 00:00:00
58,생각 정리 (58),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-02-27 00:00:00
59,친구와의 만남 (59),일기장 프로그램을 예쁘게 꾸미고 나니 더 쓰고 싶은 마음이 든다.,2024-02-28 00:00:00
60,친구와의 만남 (60),오랜만에 친구를 만나서 맛있는 음식을 먹고 수다를 떨었다.,2024-02-29 00:00:00
61,날씨가 맑음 (61),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-03-01 00:00:00
62,오늘의 일기 (62),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-03-02 00:00:00
63,산책 중 (63),새로 산 책을 읽기 시작했는데 내용이 아주 흥미진진하다.,2024-03-03 00:00:00
64,오늘의 일기 (64),오랜만에 친구를 만나서 맛있는 음식을 먹고 수다를 떨었다.,2024-03-04 00:00:00
65,친구와의 만남 (65),일기장 프로그램을 예쁘게 꾸미고 나니 더 쓰고 싶은 마음이 든다.,2024-03-05 00:00:00
66,운동 완료 (66),오랜만에 친구를 만나서 맛있는 음식을 먹고 수다를 떨었다.,2024-03-06 00:00:00
67,날씨가 맑음 (67),MySQL 데이터베이스 연동 테스트를 성공했다. 뿌듯하다.,2024-03-07 00:00:00
68,피곤한 하루 (68),계획했던 일들을 다 끝내지 못해서 조금 아쉽지만 내일 더 열심히 해야겠다.,2024-03-08 00:00:00
69,생각 정리 (69),날씨가 너무 좋아서 근처 공원을 산책했다. 기분이 상쾌해졌다.,2024-03-09 00:00:00
70,날씨가 맑음 (70),내일부터는 아침 일찍 일어나서 운동을 시작해 보려고 한다.,2024-03-10 00:00:00
71,날씨가 맑음 (71),커피 한 잔을 마시며 음악을 들으니 마음이 편안해진다.,2024-03-11 00:00:00
